CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,NM_AREA_AVALIACAO_ABREVIADA
1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,MAT./PROB./ESTAT.
2,COMPUTAÇÃO,COMPUTAÇÃO
3,ASTRONOMIA / FÍSICA,ASTRON./FÍS.
4,QUÍMICA,QUÍMICA
5,GEOCIÊNCIAS,GEOCIÊNCIAS
6,CIÊNCIAS BIOLÓGICAS I,C. BIOL. I
7,BIODIVERSIDADE,BIODIVERSIDADE
8,CIÊNCIAS BIOLÓGICAS II,C. BIOL. II
9,CIÊNCIAS BIOLÓGICAS III,C. BIOL. III
10,ENGENHARIAS I,ENG. I
11,ARTES,ARTES
12,ENGENHARIAS II,ENG. II
13,ENGENHARIAS III,ENG. III
14,ENGENHARIAS IV,ENG. IV
15,MEDICINA I,MED. I
16,MEDICINA II,MED. II
17,MEDICINA III,MED. III
18,ODONTOLOGIA,ODONTOLOGIA
19,FARMÁCIA,FARMÁCIA
20,ENFERMAGEM,ENFERMAGEM
21,"EDUCAÇÃO FÍSICA, FISIOTERAPIA, FONOAUDIOLOGIA E TERAPIA OCUPACIONAL","ED. FÍS., FISIO, FONO E T.O."
22,SAÚDE COLETIVA,SAÚDE COLETIVA
23,ZOOTECNIA / RECURSOS PESQUEIROS,ZOOTEC. / REC. PESQ.
24,MEDICINA VETERINÁRIA,MED. VET.
25,CIÊNCIA DE ALIMENTOS,C. ALIMENTOS
26,DIREITO,DIREITO
27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","ADM. PÚB./EMP., C. CONT. E TUR."
28,ECONOMIA,ECONOMIA
29,"ARQUITETURA, URBANISMO E DESIGN","ARQ., URB. E DESIGN"
30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,PLAN. URB. / DEMOG.
31,COMUNICAÇÃO E INFORMAÇÃO,COMUN. E INF.
32,SERVIÇO SOCIAL,SERVIÇO SOCIAL
33,FILOSOFIA,FILOSOFIA
34,SOCIOLOGIA,SOCIOLOGIA
35,ANTROPOLOGIA / ARQUEOLOGIA,ANTROP. / ARQUEOL.
36,GEOGRAFIA,GEOGRAFIA
37,PSICOLOGIA,PSICOLOGIA
38,EDUCAÇÃO,EDUCAÇÃO
39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,C. POLÍTICA E REL. INT.
40,HISTÓRIA,HISTÓRIA
41,LINGUÍSTICA E LITERATURA,LING. E LIT.
42,CIÊNCIAS AGRÁRIAS I,C. AGR. I
44,CIÊNCIAS DA RELIGIÃO E TEOLOGIA,C. RELIG. E TEOL.
45,INTERDISCIPLINAR,INTERDISC.
46,ENSINO,ENSINO
47,MATERIAIS,MATERIAIS
48,BIOTECNOLOGIA,BIOTEC.
49,CIÊNCIAS AMBIENTAIS,C. AMBIENTAIS
50,NUTRIÇÃO,NUTRIÇÃO
51,CIÊNCIAS E HUMANIDADES PARA A EDUCAÇÃO BÁSICA,C. HUM. P/ EDUC. BÁS.
