CD_PROGRAMA_IES,NM_PROGRAMA_IES,SG_UF_PROGRAMA,CONTAGEM_DISCENTES
31075010001P2,MATEMÁTICA EM REDE NACIONAL,CE,3743
31001017155P1,ENSINO DE HISTÓRIA,RJ,1955
33283010001P5,ENSINO DE FÍSICA - PROFIS,RJ,1620
23001011069P5,LETRAS,BA,1601
32001010175P5,PROFBIO ENSINO DE BIOLOGIA EM REDE NACIONAL,MG,1063
33004137068P8,PROEF - EDUCAÇÃO FÍSICA EM REDE NACIONAL,PR,931
40001016170P6,FILOSOFIA,RS,749
33004129069P9,EDUCAÇÃO INCLUSIVA,SP,691
41002016026P1,PROFARTES,SC,644
31001017169P2,QUÍMICA EM REDE NACIONAL,RN,549
25016016039P8,SOCIOLOGIA EM REDE NACIONAL,SP,406
33002045070P4,REDE NACIONAL PARA ENSINO DAS CIÊNCIAS AMBIENTAIS,PR,390
42002010169P3,ENSINO DE GEOGRAFIA EM REDE,RJ,346
