CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,NM_AREA_AVALIACAO_ABREVIADA,GRANDE_AREA_CAPES_SITE,COLEGIO_CAPES_SITE,CONTAGEM_DISCENTES_2024,IS_AREA_45,MESMA_GRANDE_AREA_AREA45,MESMO_COLEGIO_AREA45
1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,MAT./PROB./ESTAT.,CIÊNCIAS EXATAS E DA TERRA,"CIÊNCIAS EXATAS, TECNOLÓGICAS E MULTIDISCIPLINAR",3802,0,0,1
2,COMPUTAÇÃO,COMPUTAÇÃO,CIÊNCIAS EXATAS E DA TERRA,"CIÊNCIAS EXATAS, TECNOLÓGICAS E MULTIDISCIPLINAR",11382,0,0,1
3,ASTRONOMIA / FÍSICA,ASTRON./FÍS.,CIÊNCIAS EXATAS E DA TERRA,"CIÊNCIAS EXATAS, TECNOLÓGICAS E MULTIDISCIPLINAR",4518,0,0,1
4,QUÍMICA,QUÍMICA,CIÊNCIAS EXATAS E DA TERRA,"CIÊNCIAS EXATAS, TECNOLÓGICAS E MULTIDISCIPLINAR",7170,0,0,1
5,GEOCIÊNCIAS,GEOCIÊNCIAS,CIÊNCIAS EXATAS E DA TERRA,"CIÊNCIAS EXATAS, TECNOLÓGICAS E MULTIDISCIPLINAR",4066,0,0,1
6,CIÊNCIAS BIOLÓGICAS I,C. BIOL. I,CIÊNCIAS BIOLÓGICAS,CIÊNCIAS DA VIDA,4573,0,0,0
7,BIODIVERSIDADE,BIODIVERSIDADE,CIÊNCIAS BIOLÓGICAS,CIÊNCIAS DA VIDA,8611,0,0,0
8,CIÊNCIAS BIOLÓGICAS II,C. BIOL. II,CIÊNCIAS BIOLÓGICAS,CIÊNCIAS DA VIDA,6205,0,0,0
9,CIÊNCIAS BIOLÓGICAS III,C. BIOL. III,CIÊNCIAS BIOLÓGICAS,CIÊNCIAS DA VIDA,2849,0,0,0
10,ENGENHARIAS I,ENG. I,ENGENHARIAS,"CIÊNCIAS EXATAS, TECNOLÓGICAS E MULTIDISCIPLINAR",10488,0,0,1
11,ARTES,ARTES,"LINGUÍSTICA, LETRAS E ARTES",HUMANIDADES,6595,0,0,0
12,ENGENHARIAS II,ENG. II,ENGENHARIAS,"CIÊNCIAS EXATAS, TECNOLÓGICAS E MULTIDISCIPLINAR",8862,0,0,1
13,ENGENHARIAS III,ENG. III,ENGENHARIAS,"CIÊNCIAS EXATAS, TECNOLÓGICAS E MULTIDISCIPLINAR",11468,0,0,1
14,ENGENHARIAS IV,ENG. IV,ENGENHARIAS,"CIÊNCIAS EXATAS, TECNOLÓGICAS E MULTIDISCIPLINAR",9309,0,0,1
15,MEDICINA I,MED. I,CIÊNCIAS DA SAÚDE,CIÊNCIAS DA VIDA,10371,0,0,0
16,MEDICINA II,MED. II,CIÊNCIAS DA SAÚDE,CIÊNCIAS DA VIDA,8455,0,0,0
17,MEDICINA III,MED. III,CIÊNCIAS DA SAÚDE,CIÊNCIAS DA VIDA,3482,0,0,0
18,ODONTOLOGIA,ODONTOLOGIA,CIÊNCIAS DA SAÚDE,CIÊNCIAS DA VIDA,8381,0,0,0
19,FARMÁCIA,FARMÁCIA,CIÊNCIAS DA SAÚDE,CIÊNCIAS DA VIDA,4881,0,0,0
20,ENFERMAGEM,ENFERMAGEM,CIÊNCIAS DA SAÚDE,CIÊNCIAS DA VIDA,7244,0,0,0
21,"EDUCAÇÃO FÍSICA, FISIOTERAPIA, FONOAUDIOLOGIA E TERAPIA OCUPACIONAL","ED. FÍS., FISIO, FONO E T.O.",CIÊNCIAS DA SAÚDE,CIÊNCIAS DA VIDA,7217,0,0,0
22,SAÚDE COLETIVA,SAÚDE COLETIVA,CIÊNCIAS DA SAÚDE,CIÊNCIAS DA VIDA,9643,0,0,0
23,ZOOTECNIA / RECURSOS PESQUEIROS,ZOOTEC. / REC. PESQ.,CIÊNCIAS AGRÁRIAS,CIÊNCIAS DA VIDA,3982,0,0,0
24,MEDICINA VETERINÁRIA,MED. VET.,CIÊNCIAS AGRÁRIAS,CIÊNCIAS DA VIDA,6425,0,0,0
25,CIÊNCIA DE ALIMENTOS,C. ALIMENTOS,CIÊNCIAS AGRÁRIAS,CIÊNCIAS DA VIDA,3613,0,0,0
26,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS,HUMANIDADES,19446,0,0,0
27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","ADM. PÚB./EMP., C. CONT. E TUR.",CIÊNCIAS SOCIAIS APLICADAS,HUMANIDADES,15731,0,0,0
28,ECONOMIA,ECONOMIA,CIÊNCIAS SOCIAIS APLICADAS,HUMANIDADES,5365,0,0,0
29,"ARQUITETURA, URBANISMO E DESIGN","ARQ., URB. E DESIGN",CIÊNCIAS SOCIAIS APLICADAS,HUMANIDADES,6005,0,0,0
30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,PLAN. URB. / DEMOG.,CIÊNCIAS SOCIAIS APLICADAS,HUMANIDADES,3621,0,0,0
31,COMUNICAÇÃO E INFORMAÇÃO,COMUN. E INF.,CIÊNCIAS SOCIAIS APLICADAS,HUMANIDADES,6872,0,0,0
32,SERVIÇO SOCIAL,SERVIÇO SOCIAL,CIÊNCIAS SOCIAIS APLICADAS,HUMANIDADES,3010,0,0,0
33,FILOSOFIA,FILOSOFIA,CIÊNCIAS HUMANAS,HUMANIDADES,4630,0,0,0
34,SOCIOLOGIA,SOCIOLOGIA,CIÊNCIAS HUMANAS,HUMANIDADES,4927,0,0,0
35,ANTROPOLOGIA / ARQUEOLOGIA,ANTROP. / ARQUEOL.,CIÊNCIAS HUMANAS,HUMANIDADES,3107,0,0,0
36,GEOGRAFIA,GEOGRAFIA,CIÊNCIAS HUMANAS,HUMANIDADES,6953,0,0,0
37,PSICOLOGIA,PSICOLOGIA,CIÊNCIAS HUMANAS,HUMANIDADES,9946,0,0,0
38,EDUCAÇÃO,EDUCAÇÃO,CIÊNCIAS HUMANAS,HUMANIDADES,27051,0,0,0
39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,C. POLÍTICA E REL. INT.,CIÊNCIAS HUMANAS,HUMANIDADES,5125,0,0,0
40,HISTÓRIA,HISTÓRIA,CIÊNCIAS HUMANAS,HUMANIDADES,8445,0,0,0
41,LINGUÍSTICA E LITERATURA,LING. E LIT.,"LINGUÍSTICA, LETRAS E ARTES",HUMANIDADES,18999,0,0,0
42,CIÊNCIAS AGRÁRIAS I,C. AGR. I,CIÊNCIAS AGRÁRIAS,CIÊNCIAS DA VIDA,14457,0,0,0
44,CIÊNCIAS DA RELIGIÃO E TEOLOGIA,C. RELIG. E TEOL.,CIÊNCIAS HUMANAS,HUMANIDADES,1827,0,0,0
45,INTERDISCIPLINAR,INTERDISC.,MULTIDISCIPLINAR,"CIÊNCIAS EXATAS, TECNOLÓGICAS E MULTIDISCIPLINAR",31065,1,1,1
46,ENSINO,ENSINO,MULTIDISCIPLINAR,"CIÊNCIAS EXATAS, TECNOLÓGICAS E MULTIDISCIPLINAR",17517,0,1,1
47,MATERIAIS,MATERIAIS,MULTIDISCIPLINAR,"CIÊNCIAS EXATAS, TECNOLÓGICAS E MULTIDISCIPLINAR",3102,0,1,1
48,BIOTECNOLOGIA,BIOTEC.,MULTIDISCIPLINAR,"CIÊNCIAS EXATAS, TECNOLÓGICAS E MULTIDISCIPLINAR",4492,0,1,1
49,CIÊNCIAS AMBIENTAIS,C. AMBIENTAIS,MULTIDISCIPLINAR,"CIÊNCIAS EXATAS, TECNOLÓGICAS E MULTIDISCIPLINAR",9591,0,1,1
50,NUTRIÇÃO,NUTRIÇÃO,CIÊNCIAS DA SAÚDE,CIÊNCIAS DA VIDA,2217,0,0,0
51,CIÊNCIAS E HUMANIDADES PARA A EDUCAÇÃO BÁSICA,C. HUM. P/ EDUC. BÁS.,MULTIDISCIPLINAR,"CIÊNCIAS EXATAS, TECNOLÓGICAS E MULTIDISCIPLINAR",14682,0,1,1
