NM_AREA_AVALIACAO,CD_AREA_AVALIACAO,CONTAGEM_DISCENTES
INTERDISCIPLINAR,45,31065
EDUCAÇÃO,38,27051
DIREITO,26,19446
LINGUÍSTICA E LITERATURA,41,18999
ENSINO,46,17517
"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",27,15731
CIÊNCIAS E HUMANIDADES PARA A EDUCAÇÃO BÁSICA,51,14682
CIÊNCIAS AGRÁRIAS I,42,14457
ENGENHARIAS III,13,11468
COMPUTAÇÃO,2,11382
ENGENHARIAS I,10,10488
MEDICINA I,15,10371
PSICOLOGIA,37,9946
SAÚDE COLETIVA,22,9643
CIÊNCIAS AMBIENTAIS,49,9591
ENGENHARIAS IV,14,9309
ENGENHARIAS II,12,8862
BIODIVERSIDADE,7,8611
MEDICINA II,16,8455
HISTÓRIA,40,8445
ODONTOLOGIA,18,8381
ENFERMAGEM,20,7244
"EDUCAÇÃO FÍSICA, FISIOTERAPIA, FONOAUDIOLOGIA E TERAPIA OCUPACIONAL",21,7217
QUÍMICA,4,7170
GEOGRAFIA,36,6953
COMUNICAÇÃO E INFORMAÇÃO,31,6872
ARTES,11,6595
MEDICINA VETERINÁRIA,24,6425
CIÊNCIAS BIOLÓGICAS II,8,6205
"ARQUITETURA, URBANISMO E DESIGN",29,6005
ECONOMIA,28,5365
CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,39,5125
SOCIOLOGIA,34,4927
FARMÁCIA,19,4881
FILOSOFIA,33,4630
CIÊNCIAS BIOLÓGICAS I,6,4573
ASTRONOMIA / FÍSICA,3,4518
BIOTECNOLOGIA,48,4492
GEOCIÊNCIAS,5,4066
ZOOTECNIA / RECURSOS PESQUEIROS,23,3982
MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,1,3802
PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,30,3621
CIÊNCIA DE ALIMENTOS,25,3613
MEDICINA III,17,3482
ANTROPOLOGIA / ARQUEOLOGIA,35,3107
MATERIAIS,47,3102
SERVIÇO SOCIAL,32,3010
CIÊNCIAS BIOLÓGICAS III,9,2849
NUTRIÇÃO,50,2217
CIÊNCIAS DA RELIGIÃO E TEOLOGIA,44,1827
