SG_UF_PROGRAMA,CD_AREA_AVALIACAO,CONTAGEM_DISCENTES
AC,2,34
AC,7,3
AC,11,31
AC,16,35
AC,22,70
AC,24,59
AC,27,13
AC,36,51
AC,38,81
AC,41,113
AC,42,86
AC,45,60
AC,46,222
AC,48,23
AC,49,34
AC,51,121
AL,1,34
AL,2,103
AL,3,79
AL,4,88
AL,5,29
AL,7,56
AL,8,23
AL,10,138
AL,12,76
AL,15,41
AL,16,137
AL,18,74
AL,19,48
AL,20,60
AL,21,31
AL,22,40
AL,24,67
AL,26,132
AL,27,72
AL,28,39
AL,29,131
AL,31,50
AL,32,108
AL,33,15
AL,34,28
AL,35,30
AL,36,56
AL,37,90
AL,38,164
AL,40,41
AL,41,196
AL,42,245
AL,45,144
AL,46,323
AL,47,49
AL,48,69
AL,49,128
AL,50,83
AL,51,237
AM,1,77
AM,2,202
AM,3,43
AM,4,155
AM,5,80
AM,6,46
AM,7,350
AM,8,17
AM,9,159
AM,13,56
AM,14,200
AM,15,33
AM,16,204
AM,17,80
AM,18,40
AM,19,63
AM,20,158
AM,21,105
AM,22,196
AM,23,138
AM,26,137
AM,27,12
AM,28,10
AM,29,86
AM,31,20
AM,32,57
AM,34,6
AM,35,142
AM,36,165
AM,37,76
AM,38,310
AM,40,112
AM,41,178
AM,42,255
AM,45,430
AM,46,423
AM,47,37
AM,48,236
AM,49,363
AM,51,328
AP,7,56
AP,19,81
AP,22,14
AP,26,25
AP,30,65
AP,36,72
AP,38,127
AP,39,29
AP,40,32
AP,41,65
AP,45,134
AP,46,43
AP,48,29
AP,49,48
AP,51,150
BA,1,86
BA,2,273
BA,3,62
BA,4,305
BA,5,231
BA,6,49
BA,7,608
BA,8,143
BA,9,144
BA,10,191
BA,11,703
BA,12,139
BA,13,287
BA,14,185
BA,15,479
BA,16,303
BA,18,83
BA,19,215
BA,20,381
BA,21,126
BA,22,834
BA,23,209
BA,24,178
BA,25,203
BA,26,325
BA,27,322
BA,28,125
BA,29,344
BA,30,143
BA,31,356
BA,32,130
BA,33,122
BA,34,235
BA,35,138
BA,36,292
BA,37,303
BA,38,1361
BA,39,159
BA,40,476
BA,41,1482
BA,42,695
BA,45,2999
