AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,CONTAGEM_DISCENTES
2004,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,1364
2004,2,CIÊNCIA DA COMPUTAÇÃO,3138
2004,3,ASTRONOMIA / FÍSICA,2118
2004,4,QUÍMICA,3615
2004,5,GEOCIÊNCIAS,2140
2004,6,CIÊNCIAS BIOLÓGICAS I,4266
2004,7,BIODIVERSIDADE,1600
2004,8,CIÊNCIAS BIOLÓGICAS II,4005
2004,9,CIÊNCIAS BIOLÓGICAS III,1645
2004,10,ENGENHARIAS I,4004
2004,11,ARTES / MÚSICA,1271
2004,12,ENGENHARIAS II,4016
2004,13,ENGENHARIAS III,3873
2004,14,ENGENHARIAS IV,4088
2004,15,MEDICINA I,3230
2004,16,MEDICINA II,3130
2004,17,MEDICINA III,1997
2004,18,ODONTOLOGIA,2420
2004,19,FARMÁCIA,1569
2004,20,ENFERMAGEM,1942
2004,21,EDUCAÇÃO FÍSICA,1477
2004,22,SAÚDE COLETIVA,2572
2004,23,ZOOTECNIA / RECURSOS PESQUEIROS,2454
2004,24,MEDICINA VETERINÁRIA,2529
2004,25,CIÊNCIA DE ALIMENTOS,1810
2004,26,DIREITO,4807
2004,27,"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO",3226
2004,28,ECONOMIA,1687
2004,29,ARQUITETURA E URBANISMO,1906
2004,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,818
2004,31,CIÊNCIAS SOCIAIS APLICADAS I,2362
2004,32,SERVIÇO SOCIAL,1272
2004,33,FILOSOFIA / TEOLOGIA:SUBCOMISSÃO FILOSOFIA,1527
2004,34,SOCIOLOGIA,2415
2004,35,ANTROPOLOGIA / ARQUEOLOGIA,932
2004,36,GEOGRAFIA,2143
2004,37,PSICOLOGIA,3183
2004,38,EDUCAÇÃO,4962
2004,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,850
2004,40,HISTÓRIA,2750
2004,41,LETRAS / LINGUÍSTICA,3353
2004,42,CIÊNCIAS AGRÁRIAS I,5046
2004,44,FILOSOFIA/TEOLOGIA:SUBCOMISSÃO TEOLOGIA,752
2004,45,INTERDISCIPLINAR,2231
2004,46,ENSINO,983
2005,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,1467
2005,2,CIÊNCIA DA COMPUTAÇÃO,3234
2005,3,ASTRONOMIA / FÍSICA,2477
2005,4,QUÍMICA,3955
2005,5,GEOCIÊNCIAS,2314
2005,6,CIÊNCIAS BIOLÓGICAS I,4695
2005,7,BIODIVERSIDADE,1659
2005,8,CIÊNCIAS BIOLÓGICAS II,4449
2005,9,CIÊNCIAS BIOLÓGICAS III,1803
2005,10,ENGENHARIAS I,4091
2005,11,ARTES / MÚSICA,1400
2005,12,ENGENHARIAS II,4383
2005,13,ENGENHARIAS III,4141
2005,14,ENGENHARIAS IV,4126
2005,15,MEDICINA I,3669
2005,16,MEDICINA II,3477
2005,17,MEDICINA III,2231
2005,18,ODONTOLOGIA,2623
2005,19,FARMÁCIA,1701
2005,20,ENFERMAGEM,2106
2005,21,EDUCAÇÃO FÍSICA,1639
2005,22,SAÚDE COLETIVA,2814
2005,23,ZOOTECNIA / RECURSOS PESQUEIROS,2822
2005,24,MEDICINA VETERINÁRIA,2798
2005,25,CIÊNCIA DE ALIMENTOS,1928
2005,26,DIREITO,4999
2005,27,"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO",3387
2005,28,ECONOMIA,1800
2005,29,ARQUITETURA E URBANISMO,2085
2005,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,852
2005,31,CIÊNCIAS SOCIAIS APLICADAS I,2298
2005,32,SERVIÇO SOCIAL,1435
2005,33,FILOSOFIA / TEOLOGIA:SUBCOMISSÃO FILOSOFIA,1489
2005,34,SOCIOLOGIA,2642
2005,35,ANTROPOLOGIA / ARQUEOLOGIA,1024
2005,36,GEOGRAFIA,2281
2005,37,PSICOLOGIA,3451
2005,38,EDUCAÇÃO,5264
2005,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,889
2005,40,HISTÓRIA,2941
2005,41,LETRAS / LINGUÍSTICA,3627
2005,42,CIÊNCIAS AGRÁRIAS I,5581
2005,44,FILOSOFIA/TEOLOGIA:SUBCOMISSÃO TEOLOGIA,790
2005,45,INTERDISCIPLINAR,2449
2005,46,ENSINO,1006
2006,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,1594
2006,2,CIÊNCIA DA COMPUTAÇÃO,3228
2006,3,ASTRONOMIA / FÍSICA,2646
2006,4,QUÍMICA,4090
2006,5,GEOCIÊNCIAS,2401
2006,6,CIÊNCIAS BIOLÓGICAS I,5081
2006,7,BIODIVERSIDADE,1739
2006,8,CIÊNCIAS BIOLÓGICAS II,4608
2006,9,CIÊNCIAS BIOLÓGICAS III,1887
2006,10,ENGENHARIAS I,4243
2006,11,ARTES / MÚSICA,1298
2006,12,ENGENHARIAS II,4682
2006,13,ENGENHARIAS III,4333
2006,14,ENGENHARIAS IV,4409
2006,15,MEDICINA I,4136
2006,16,MEDICINA II,3886
2006,17,MEDICINA III,2360
2006,18,ODONTOLOGIA,2827
2006,19,FARMÁCIA,2025
2006,20,ENFERMAGEM,2273
2006,21,EDUCAÇÃO FÍSICA,1841
2006,22,SAÚDE COLETIVA,2880
2006,23,ZOOTECNIA / RECURSOS PESQUEIROS,2930
2006,24,MEDICINA VETERINÁRIA,3164
2006,25,CIÊNCIA DE ALIMENTOS,1985
2006,26,DIREITO,4822
2006,27,"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO",3418
2006,28,ECONOMIA,1946
2006,29,ARQUITETURA E URBANISMO,2199
2006,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,915
2006,31,CIÊNCIAS SOCIAIS APLICADAS I,2203
2006,32,SERVIÇO SOCIAL,1528
2006,33,FILOSOFIA / TEOLOGIA:SUBCOMISSÃO FILOSOFIA,1606
2006,34,SOCIOLOGIA,2672
2006,35,ANTROPOLOGIA / ARQUEOLOGIA,1053
2006,36,GEOGRAFIA,2523
2006,37,PSICOLOGIA,3657
2006,38,EDUCAÇÃO,5615
2006,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,950
2006,40,HISTÓRIA,3149
2006,41,LETRAS / LINGUÍSTICA,3909
2006,42,CIÊNCIAS AGRÁRIAS I,5999
2006,44,FILOSOFIA/TEOLOGIA:SUBCOMISSÃO TEOLOGIA,829
2006,45,INTERDISCIPLINAR,2670
2006,46,ENSINO,1161
2007,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,1673
2007,2,CIÊNCIA DA COMPUTAÇÃO,3513
2007,3,ASTRONOMIA / FÍSICA,2901
2007,4,QUÍMICA,4529
