AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,CONTAGEM_EGRESSOS_ID_PESSOA,CONTAGEM_EGRESSOS_ID_PESSOA_PROGRAMA
2004,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,317,317
2004,2,CIÊNCIA DA COMPUTAÇÃO,833,833
2004,3,ASTRONOMIA / FÍSICA,452,452
2004,4,QUÍMICA,678,678
2004,5,GEOCIÊNCIAS,430,430
2004,6,CIÊNCIAS BIOLÓGICAS I,1126,1126
2004,7,BIODIVERSIDADE,285,285
2004,8,CIÊNCIAS BIOLÓGICAS II,975,975
2004,9,CIÊNCIAS BIOLÓGICAS III,284,284
2004,10,ENGENHARIAS I,1169,1169
2004,11,ARTES / MÚSICA,353,354
2004,12,ENGENHARIAS II,953,953
2004,13,ENGENHARIAS III,1694,1696
2004,14,ENGENHARIAS IV,1123,1123
2004,15,MEDICINA I,785,785
2004,16,MEDICINA II,1001,1001
2004,17,MEDICINA III,585,585
2004,18,ODONTOLOGIA,846,847
2004,19,FARMÁCIA,324,324
2004,20,ENFERMAGEM,460,460
2004,21,EDUCAÇÃO FÍSICA,469,469
2004,22,SAÚDE COLETIVA,727,727
2004,23,ZOOTECNIA / RECURSOS PESQUEIROS,470,470
2004,24,MEDICINA VETERINÁRIA,537,537
2004,25,CIÊNCIA DE ALIMENTOS,422,422
2004,26,DIREITO,1822,1823
2004,27,"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO",1488,1488
2004,28,ECONOMIA,591,591
2004,29,ARQUITETURA E URBANISMO,316,316
2004,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,164,164
2004,31,CIÊNCIAS SOCIAIS APLICADAS I,623,623
2004,32,SERVIÇO SOCIAL,260,260
2004,33,FILOSOFIA / TEOLOGIA:SUBCOMISSÃO FILOSOFIA,294,294
2004,34,SOCIOLOGIA,615,615
2004,35,ANTROPOLOGIA / ARQUEOLOGIA,160,160
2004,36,GEOGRAFIA,438,438
2004,37,PSICOLOGIA,923,923
2004,38,EDUCAÇÃO,2271,2272
2004,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,203,203
2004,40,HISTÓRIA,624,624
2004,41,LETRAS / LINGUÍSTICA,1788,1788
2004,42,CIÊNCIAS AGRÁRIAS I,1765,1765
2004,44,FILOSOFIA/TEOLOGIA:SUBCOMISSÃO TEOLOGIA,155,155
2004,45,INTERDISCIPLINAR,1338,1338
2004,46,ENSINO,222,222
2005,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,399,399
2005,2,CIÊNCIA DA COMPUTAÇÃO,879,879
2005,3,ASTRONOMIA / FÍSICA,447,447
2005,4,QUÍMICA,868,868
2005,5,GEOCIÊNCIAS,452,452
2005,6,CIÊNCIAS BIOLÓGICAS I,1375,1375
2005,7,BIODIVERSIDADE,286,286
2005,8,CIÊNCIAS BIOLÓGICAS II,990,990
2005,9,CIÊNCIAS BIOLÓGICAS III,347,347
2005,10,ENGENHARIAS I,1427,1427
2005,11,ARTES / MÚSICA,393,393
