AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,CONTAGEM_INGRESSANTES_ID_PESSOA,CONTAGEM_INGRESSOS_ID_PESSOA_PROGRAMA
2013,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,2490,2511
2013,2,CIÊNCIA DA COMPUTAÇÃO,2634,2649
2013,3,ASTRONOMIA / FÍSICA,1556,1567
2013,4,QUÍMICA,2197,2222
2013,5,GEOCIÊNCIAS,1160,1165
2013,6,CIÊNCIAS BIOLÓGICAS I,1394,1397
2013,7,BIODIVERSIDADE,2473,2478
2013,8,CIÊNCIAS BIOLÓGICAS II,1465,1467
2013,9,CIÊNCIAS BIOLÓGICAS III,708,708
2013,10,ENGENHARIAS I,2535,2541
2013,11,ARTES / MÚSICA,1181,1185
2013,12,ENGENHARIAS II,2691,2712
2013,13,ENGENHARIAS III,3797,3804
2013,14,ENGENHARIAS IV,2775,2784
2013,15,MEDICINA I,2631,2632
2013,16,MEDICINA II,2149,2149
2013,17,MEDICINA III,817,817
2013,18,ODONTOLOGIA,2312,2313
2013,19,FARMÁCIA,1306,1307
2013,20,ENFERMAGEM,1683,1686
2013,21,EDUCAÇÃO FÍSICA,1420,1420
2013,22,SAÚDE COLETIVA,1719,1721
2013,23,ZOOTECNIA / RECURSOS PESQUEIROS,1494,1495
2013,24,MEDICINA VETERINÁRIA,1732,1779
2013,25,CIÊNCIA DE ALIMENTOS,1016,1019
2013,26,DIREITO,3223,3229
2013,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",3677,3687
2013,28,ECONOMIA,1347,1348
2013,29,"ARQUITETURA, URBANISMO E DESIGN",1141,1142
2013,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,756,756
2013,31,COMUNICAÇÃO E INFORMAÇÃO,1466,1468
2013,32,SERVIÇO SOCIAL,687,687
2013,33,FILOSOFIA,868,870
2013,34,SOCIOLOGIA,1387,1391
2013,35,ANTROPOLOGIA / ARQUEOLOGIA,538,538
2013,36,GEOGRAFIA,1416,1423
2013,37,PSICOLOGIA,2028,2030
2013,38,EDUCAÇÃO,5304,5306
2013,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,646,646
2013,40,HISTÓRIA,1786,1791
2013,41,LETRAS / LINGUÍSTICA,4837,4845
2013,42,CIÊNCIAS AGRÁRIAS I,4920,4949
2013,44,TEOLOGIA,562,562
2013,45,INTERDISCIPLINAR,5349,5364
2013,46,ENSINO,1942,1945
2013,47,MATERIAIS,652,652
2013,48,BIOTECNOLOGIA,1134,1135
2013,49,CIÊNCIAS AMBIENTAIS,1652,1657
2013,50,NUTRIÇÃO,401,401
2014,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,2512,2537
2014,2,CIÊNCIA DA COMPUTAÇÃO,2816,2826
2014,3,ASTRONOMIA / FÍSICA,1268,1286
2014,4,QUÍMICA,2156,2165
2014,5,GEOCIÊNCIAS,1137,1141
2014,6,CIÊNCIAS BIOLÓGICAS I,1392,1397
2014,7,BIODIVERSIDADE,2479,2486
2014,8,CIÊNCIAS BIOLÓGICAS II,1500,1505
2014,9,CIÊNCIAS BIOLÓGICAS III,717,717
2014,10,ENGENHARIAS I,2911,2918
2014,11,ARTES / MÚSICA,1348,1351
2014,12,ENGENHARIAS II,2834,2856
2014,13,ENGENHARIAS III,4107,4117
2014,14,ENGENHARIAS IV,2761,2769
2014,15,MEDICINA I,2534,2534
2014,16,MEDICINA II,1985,1985
2014,17,MEDICINA III,805,805
2014,18,ODONTOLOGIA,2137,2151
2014,19,FARMÁCIA,1270,1271
2014,20,ENFERMAGEM,1644,1647
2014,21,EDUCAÇÃO FÍSICA,1391,1392
2014,22,SAÚDE COLETIVA,1745,1748
2014,23,ZOOTECNIA / RECURSOS PESQUEIROS,1571,1575
2014,24,MEDICINA VETERINÁRIA,1634,1635
2014,25,CIÊNCIA DE ALIMENTOS,1038,1040
2014,26,DIREITO,3308,3312
2014,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",4107,4118
2014,28,ECONOMIA,1326,1331
2014,29,"ARQUITETURA, URBANISMO E DESIGN",1224,1225
2014,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,772,772
2014,31,COMUNICAÇÃO E INFORMAÇÃO,1534,1536
2014,32,SERVIÇO SOCIAL,624,624
2014,33,FILOSOFIA,886,892
2014,34,SOCIOLOGIA,1348,1348
2014,35,ANTROPOLOGIA / ARQUEOLOGIA,555,556
2014,36,GEOGRAFIA,1484,1489
2014,37,PSICOLOGIA,2122,2125
2014,38,EDUCAÇÃO,5728,5731
2014,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,824,825
2014,40,HISTÓRIA,2042,2048
2014,41,LETRAS / LINGUÍSTICA,4252,4262
2014,42,CIÊNCIAS AGRÁRIAS I,5077,5099
2014,44,TEOLOGIA,508,509
2014,45,INTERDISCIPLINAR,6181,6204
2014,46,ENSINO,2324,2326
2014,47,MATERIAIS,658,659
2014,48,BIOTECNOLOGIA,1155,1157
2014,49,CIÊNCIAS AMBIENTAIS,1825,1836
2014,50,NUTRIÇÃO,459,459
2015,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,2472,2485
2015,2,CIÊNCIA DA COMPUTAÇÃO,2722,2731
2015,3,ASTRONOMIA / FÍSICA,1241,1259
2015,4,QUÍMICA,2158,2168
2015,5,GEOCIÊNCIAS,1182,1186
2015,6,CIÊNCIAS BIOLÓGICAS I,1422,1426
2015,7,BIODIVERSIDADE,2630,2640
2015,8,CIÊNCIAS BIOLÓGICAS II,1585,1587
2015,9,CIÊNCIAS BIOLÓGICAS III,749,749
2015,10,ENGENHARIAS I,2903,2913
2015,11,ARTES / MÚSICA,1338,1340
2015,12,ENGENHARIAS II,2841,2860
2015,13,ENGENHARIAS III,3931,3938
2015,14,ENGENHARIAS IV,2810,2815
2015,15,MEDICINA I,2601,2602
2015,16,MEDICINA II,2087,2087
2015,17,MEDICINA III,796,796
2015,18,ODONTOLOGIA,2384,2385
2015,19,FARMÁCIA,1311,1313
2015,20,ENFERMAGEM,1844,1852
2015,21,EDUCAÇÃO FÍSICA,1592,1596
2015,22,SAÚDE COLETIVA,1843,1845
2015,23,ZOOTECNIA / RECURSOS PESQUEIROS,1491,1495
2015,24,MEDICINA VETERINÁRIA,1733,1735
2015,25,CIÊNCIA DE ALIMENTOS,1073,1074
2015,26,DIREITO,3743,3748
2015,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",4354,4361
2015,28,ECONOMIA,1383,1384
2015,29,"ARQUITETURA, URBANISMO E DESIGN",1302,1302
2015,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,733,733
2015,31,COMUNICAÇÃO E INFORMAÇÃO,1626,1628
2015,32,SERVIÇO SOCIAL,616,617
2015,33,FILOSOFIA,960,966
2015,34,SOCIOLOGIA,1286,1288
2015,35,ANTROPOLOGIA / ARQUEOLOGIA,590,592
2015,36,GEOGRAFIA,1501,1504
2015,37,PSICOLOGIA,2247,2250
2015,38,EDUCAÇÃO,6031,6038
2015,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,767,767
2015,40,HISTÓRIA,1861,1871
2015,41,LETRAS / LINGUÍSTICA,5323,5341
2015,42,CIÊNCIAS AGRÁRIAS I,5117,5138
2015,44,TEOLOGIA,612,612
2015,45,INTERDISCIPLINAR,6567,6574
2015,46,ENSINO,2826,2828
2015,47,MATERIAIS,698,700
2015,48,BIOTECNOLOGIA,1155,1156
2015,49,CIÊNCIAS AMBIENTAIS,2176,2188
2015,50,NUTRIÇÃO,446,446
2016,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,2435,2443
2016,2,CIÊNCIA DA COMPUTAÇÃO,2766,2780
2016,3,ASTRONOMIA / FÍSICA,1849,1857
2016,4,QUÍMICA,2126,2134
2016,5,GEOCIÊNCIAS,1242,1245
2016,6,CIÊNCIAS BIOLÓGICAS I,1264,1266
2016,7,BIODIVERSIDADE,2422,2423
