AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,CONTAGEM_INGRESSANTES_ID_PESSOA,CONTAGEM_INGRESSOS_ID_PESSOA_PROGRAMA
2004,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,1780,1819
2004,2,CIÊNCIA DA COMPUTAÇÃO,4275,4291
2004,3,ASTRONOMIA / FÍSICA,2690,2738
2004,4,QUÍMICA,5175,5234
2004,5,GEOCIÊNCIAS,2902,2932
2004,6,CIÊNCIAS BIOLÓGICAS I,8116,8267
2004,7,BIODIVERSIDADE,1884,1895
2004,8,CIÊNCIAS BIOLÓGICAS II,5917,5990
2004,9,CIÊNCIAS BIOLÓGICAS III,1830,1831
2004,10,ENGENHARIAS I,6938,6989
2004,11,ARTES / MÚSICA,1655,1659
2004,12,ENGENHARIAS II,6106,6196
2004,13,ENGENHARIAS III,8939,9001
2004,14,ENGENHARIAS IV,6352,6368
2004,15,MEDICINA I,5063,5108
2004,16,MEDICINA II,5388,5398
2004,17,MEDICINA III,2777,2784
2004,18,ODONTOLOGIA,5162,5247
2004,19,FARMÁCIA,1844,1847
2004,20,ENFERMAGEM,2342,2350
2004,21,EDUCAÇÃO FÍSICA,1998,2000
2004,22,SAÚDE COLETIVA,3292,3296
2004,23,ZOOTECNIA / RECURSOS PESQUEIROS,3257,3345
2004,24,MEDICINA VETERINÁRIA,3647,3713
2004,25,CIÊNCIA DE ALIMENTOS,2264,2284
2004,26,DIREITO,7450,7483
2004,27,"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO",6410,6428
2004,28,ECONOMIA,2739,2754
2004,29,ARQUITETURA E URBANISMO,2162,2166
2004,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,922,922
2004,31,CIÊNCIAS SOCIAIS APLICADAS I,2826,2828
2004,32,SERVIÇO SOCIAL,1674,1676
2004,33,FILOSOFIA / TEOLOGIA:SUBCOMISSÃO FILOSOFIA,1995,2010
2004,34,SOCIOLOGIA,3429,3436
2004,35,ANTROPOLOGIA / ARQUEOLOGIA,1070,1072
2004,36,GEOGRAFIA,2838,2850
2004,37,PSICOLOGIA,5807,5856
2004,38,EDUCAÇÃO,10739,10764
2004,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,1114,1118
2004,40,HISTÓRIA,3923,3955
2004,41,LETRAS / LINGUÍSTICA,9877,9954
2004,42,CIÊNCIAS AGRÁRIAS I,12167,12604
2004,44,FILOSOFIA/TEOLOGIA:SUBCOMISSÃO TEOLOGIA,877,879
2004,45,INTERDISCIPLINAR,7138,7150
2004,46,ENSINO,1463,1465
2005,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,675,729
2005,2,CIÊNCIA DA COMPUTAÇÃO,1458,1493
2005,3,ASTRONOMIA / FÍSICA,865,949
2005,4,QUÍMICA,1727,1854
2005,5,GEOCIÊNCIAS,988,1010
2005,6,CIÊNCIAS BIOLÓGICAS I,2731,3017
2005,7,BIODIVERSIDADE,649,668
2005,8,CIÊNCIAS BIOLÓGICAS II,1718,1786
2005,9,CIÊNCIAS BIOLÓGICAS III,534,541
2005,10,ENGENHARIAS I,2290,2371
2005,11,ARTES / MÚSICA,716,721
2005,12,ENGENHARIAS II,2258,2334
2005,13,ENGENHARIAS III,2886,2949
2005,14,ENGENHARIAS IV,2306,2381
2005,15,MEDICINA I,2164,2233
2005,16,MEDICINA II,2132,2147
2005,17,MEDICINA III,1164,1173
2005,18,ODONTOLOGIA,1909,2122
2005,19,FARMÁCIA,841,940
2005,20,ENFERMAGEM,1064,1078
2005,21,EDUCAÇÃO FÍSICA,1055,1059
2005,22,SAÚDE COLETIVA,1225,1234
2005,23,ZOOTECNIA / RECURSOS PESQUEIROS,1191,1371
2005,24,MEDICINA VETERINÁRIA,1322,1382
2005,25,CIÊNCIA DE ALIMENTOS,840,872
2005,26,DIREITO,2832,2858
2005,27,"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO",2641,2681
2005,28,ECONOMIA,1099,1139
2005,29,ARQUITETURA E URBANISMO,774,787
2005,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,363,367
