NM_AREA_AVALIACAO,CD_AREA_AVALIACAO,CONTAGEM_DOCENTES
INTERDISCIPLINAR,45,8212
CIÊNCIAS E HUMANIDADES PARA A EDUCAÇÃO BÁSICA,51,5723
EDUCAÇÃO,38,4639
ENSINO,46,3932
LINGUÍSTICA E LITERATURA,41,3678
CIÊNCIAS AGRÁRIAS I,42,3589
"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",27,3233
MEDICINA I,15,3007
CIÊNCIAS AMBIENTAIS,49,2952
DIREITO,26,2805
BIODIVERSIDADE,7,2801
SAÚDE COLETIVA,22,2667
MEDICINA II,16,2456
ENGENHARIAS III,13,2333
ENGENHARIAS I,10,2257
CIÊNCIAS BIOLÓGICAS II,8,2178
QUÍMICA,4,2142
COMPUTAÇÃO,2,2085
HISTÓRIA,40,1903
ODONTOLOGIA,18,1883
ENGENHARIAS IV,14,1870
ASTRONOMIA / FÍSICA,3,1795
PSICOLOGIA,37,1788
ENGENHARIAS II,12,1766
MEDICINA VETERINÁRIA,24,1646
ENFERMAGEM,20,1638
"EDUCAÇÃO FÍSICA, FISIOTERAPIA, FONOAUDIOLOGIA E TERAPIA OCUPACIONAL",21,1627
CIÊNCIAS BIOLÓGICAS I,6,1600
COMUNICAÇÃO E INFORMAÇÃO,31,1578
GEOGRAFIA,36,1565
MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,1,1537
ARTES,11,1531
BIOTECNOLOGIA,48,1528
FARMÁCIA,19,1409
ECONOMIA,28,1308
"ARQUITETURA, URBANISMO E DESIGN",29,1233
GEOCIÊNCIAS,5,1172
SOCIOLOGIA,34,1141
CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,39,1114
ZOOTECNIA / RECURSOS PESQUEIROS,23,1092
FILOSOFIA,33,1048
MEDICINA III,17,974
CIÊNCIA DE ALIMENTOS,25,879
CIÊNCIAS BIOLÓGICAS III,9,872
MATERIAIS,47,864
PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,30,813
ANTROPOLOGIA / ARQUEOLOGIA,35,673
SERVIÇO SOCIAL,32,664
NUTRIÇÃO,50,609
CIÊNCIAS DA RELIGIÃO E TEOLOGIA,44,285
