ANO,EGRESSOS_RECONSTRUIDOS,FONTE_FINAL,TESES_INTERDISCIPLINAR_BRUTO,FATOR_CALIBRACAO_APLICADO,EGRESSOS_DISCENTES_OBSERVADO,OBS
1999,449,ESTIMADO_TesesCalibrado,463,0.970722,,estimado por teses*0.970722
2000,576,ESTIMADO_TesesCalibrado,594,0.970722,,estimado por teses*0.970722
2001,731,ESTIMADO_TesesCalibrado,754,0.970722,,estimado por teses*0.970722
2002,1011,ESTIMADO_TesesCalibrado,1042,0.970722,,estimado por teses*0.970722
2003,1372,ESTIMADO_TesesCalibrado,1414,0.970722,,estimado por teses*0.970722
2004,1338,OBSERVADO_DiscentesEgressos,1358,,1338,
2005,1764,OBSERVADO_DiscentesEgressos,1780,,1764,
2006,1875,OBSERVADO_DiscentesEgressos,1888,,1875,
2007,1923,OBSERVADO_DiscentesEgressos,1981,,1923,
2008,2414,OBSERVADO_DiscentesEgressos,2435,,2414,
2009,2578,OBSERVADO_DiscentesEgressos,2629,,2578,
2010,2087,OBSERVADO_DiscentesEgressos,2694,,2087,
2011,2387,OBSERVADO_DiscentesEgressos,2439,,2387,
2012,2861,OBSERVADO_DiscentesEgressos,2938,,2861,
2013,3346,OBSERVADO_DiscentesEgressos,,,3346,
2014,3766,OBSERVADO_DiscentesEgressos,,,3766,
2015,4271,OBSERVADO_DiscentesEgressos,,,4271,
2016,4793,OBSERVADO_DiscentesEgressos,,,4793,
2017,5466,OBSERVADO_DiscentesEgressos,,,5466,
2018,6031,OBSERVADO_DiscentesEgressos,,,6031,
2019,6248,OBSERVADO_DiscentesEgressos,,,6248,
2020,5634,OBSERVADO_DiscentesEgressos,,,5634,
2021,5772,OBSERVADO_DiscentesEgressos,,,5772,
2022,5956,OBSERVADO_DiscentesEgressos,,,5956,
2023,6515,OBSERVADO_DiscentesEgressos,,,6515,
2024,6810,OBSERVADO_DiscentesEgressos,,,6810,
