ANO,PROGRAMAS_SERIE_FINAL,FONTE_FINAL,PROGRAMAS_PROXY_TESES,PROGRAMAS_PROXY_DISCENTES,PROGRAMAS_OFICIAIS_ATIVOS,TESES_INTERDISCIPLINAR_BRUTO
1999,44,ESTIMADO_PROXY_TESES_CODIGO,44,,,463
2000,51,ESTIMADO_PROXY_TESES_CODIGO,51,,,594
2001,55,ESTIMADO_PROXY_TESES_CODIGO,55,,,754
2002,64,ESTIMADO_PROXY_TESES_CODIGO,64,,,1042
2003,77,ESTIMADO_PROXY_TESES_CODIGO,77,,,1414
2004,103,OBSERVADO_PROXY_DISCENTES,85,103,,1358
2005,119,OBSERVADO_PROXY_DISCENTES,94,119,,1780
2006,146,OBSERVADO_PROXY_DISCENTES,107,146,,1888
2007,160,OBSERVADO_PROXY_DISCENTES,121,160,,1981
2008,188,OBSERVADO_PROXY_DISCENTES,144,188,,2435
2009,205,OBSERVADO_PROXY_DISCENTES,166,205,,2629
2010,169,OBSERVADO_PROXY_DISCENTES,175,169,,2694
2011,204,OBSERVADO_PROXY_DISCENTES,153,204,,2439
2012,236,OBSERVADO_PROXY_DISCENTES,173,236,,2938
2013,257,OBSERVADO_OFICIAL_ATIVOS,,263,257,
2014,283,OBSERVADO_OFICIAL_ATIVOS,,287,283,
2015,295,OBSERVADO_OFICIAL_ATIVOS,,297,295,
2016,335,OBSERVADO_OFICIAL_ATIVOS,,336,335,
2017,339,OBSERVADO_OFICIAL_ATIVOS,,348,339,
2018,343,OBSERVADO_OFICIAL_ATIVOS,,353,343,
2019,355,OBSERVADO_OFICIAL_ATIVOS,,366,355,
2020,359,OBSERVADO_OFICIAL_ATIVOS,,365,359,
2021,371,OBSERVADO_OFICIAL_ATIVOS,,389,371,
2022,375,OBSERVADO_OFICIAL_ATIVOS,,375,375,
2023,368,OBSERVADO_OFICIAL_ATIVOS,,380,368,
2024,372,OBSERVADO_OFICIAL_ATIVOS,,378,372,
