NM_SUBAREA_CONHECIMENTO,CD_AREA_AVALIACAO,CS_STATUS_JURIDICO,DS_DEPENDENCIA_ADMINISTRATIVA,NM_REGIAO,SG_UF_PROGRAMA,NM_MUNICIPIO_PROGRAMA_IES,NM_MODALIDADE_PROGRAMA,NM_PROGRAMA_IES,CD_CONCEITO_PROGRAMA,AN_INICIO_PROGRAMA,DS_SITUACAO_PROGRAMA
NÃO SE APLICA,7,FEDERAL,PÚBLICA,NORTE,RO,PORTO VELHO,ACADÊMICO,CONSERVAÇÃO E USO DE RECURSOS NATURAIS,3,2019,EM FUNCIONAMENTO
NÃO SE APLICA,41,FEDERAL,PÚBLICA,NORTE,RO,PORTO VELHO,ACADÊMICO,LETRAS,4,2010,EM FUNCIONAMENTO
NÃO SE APLICA,27,FEDERAL,PÚBLICA,NORTE,RO,PORTO VELHO,ACADÊMICO,ADMINISTRAÇÃO E CONTABILIDADE,A,2024,EM FUNCIONAMENTO
NÃO SE APLICA,33,FEDERAL,PÚBLICA,NORTE,RO,PORTO VELHO,ACADÊMICO,FILOSOFIA,3,2019,EM FUNCIONAMENTO
ENSINO DE CIÊNCIAS E MATEMÁTICA,46,FEDERAL,PÚBLICA,NORTE,RO,ROLIM DE MOURA,ACADÊMICO,ENSINO DE CIÊNCIAS DA NATUREZA - PPGECN,3,2017,EM FUNCIONAMENTO
NÃO SE APLICA,38,FEDERAL,PÚBLICA,NORTE,RO,PORTO VELHO,PROFISSIONAL,EDUCAÇÃO ESCOLAR,4,2014,EM FUNCIONAMENTO
NÃO SE APLICA,36,FEDERAL,PÚBLICA,NORTE,RO,PORTO VELHO,ACADÊMICO,GEOGRAFIA,4,2006,EM FUNCIONAMENTO
NÃO SE APLICA,49,FEDERAL,PÚBLICA,NORTE,RO,ROLIM DE MOURA,ACADÊMICO,CIÊNCIAS AMBIENTAIS,3,2013,EM FUNCIONAMENTO
NÃO SE APLICA,38,FEDERAL,PÚBLICA,NORTE,RO,PORTO VELHO,ACADÊMICO,EDUCAÇÃO,4,2010,EM FUNCIONAMENTO
"SOCIAIS, CULTURAS E HUMANIDADES",45,FEDERAL,PÚBLICA,NORTE,RO,PORTO VELHO,PROFISSIONAL,DIREITOS HUMANOS E DESENVOLVIMENTO DA JUSTIÇA,4,2017,EM FUNCIONAMENTO
NÃO SE APLICA,37,FEDERAL,PÚBLICA,NORTE,RO,PORTO VELHO,ACADÊMICO,PSICOLOGIA,4,2009,EM FUNCIONAMENTO
POLÍTICAS E DESENVOLVIMENTO DE TERRITÓRIOS,45,FEDERAL,PÚBLICA,NORTE,RO,PORTO VELHO,ACADÊMICO,DESENVOLVIMENTO REGIONAL E MEIO AMBIENTE,4,1999,EM FUNCIONAMENTO
