NM_AREA_AVALIACAO,CD_AREA_AVALIACAO,CONTAGEM_PROGRAMAS
INTERDISCIPLINAR,45,372
CIÊNCIAS AGRÁRIAS I,42,215
EDUCAÇÃO,38,192
"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",27,182
ENSINO,46,179
LINGUÍSTICA E LITERATURA,41,155
BIODIVERSIDADE,7,140
CIÊNCIAS AMBIENTAIS,49,136
DIREITO,26,135
ENGENHARIAS I,10,126
ENGENHARIAS III,13,119
MEDICINA I,15,111
MEDICINA II,16,106
PSICOLOGIA,37,100
ODONTOLOGIA,18,98
SAÚDE COLETIVA,22,98
ENGENHARIAS II,12,94
COMUNICAÇÃO E INFORMAÇÃO,31,93
ENGENHARIAS IV,14,89
COMPUTAÇÃO,2,88
MEDICINA VETERINÁRIA,24,87
"EDUCAÇÃO FÍSICA, FISIOTERAPIA, FONOAUDIOLOGIA E TERAPIA OCUPACIONAL",21,82
ENFERMAGEM,20,80
GEOGRAFIA,36,80
HISTÓRIA,40,80
CIÊNCIAS BIOLÓGICAS II,8,77
ECONOMIA,28,76
QUÍMICA,4,76
ARTES,11,73
FARMÁCIA,19,70
CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,39,64
ASTRONOMIA / FÍSICA,3,63
"ARQUITETURA, URBANISMO E DESIGN",29,62
BIOTECNOLOGIA,48,62
ZOOTECNIA / RECURSOS PESQUEIROS,23,61
CIÊNCIAS BIOLÓGICAS I,6,60
MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,1,60
CIÊNCIA DE ALIMENTOS,25,57
GEOCIÊNCIAS,5,57
FILOSOFIA,33,54
SOCIOLOGIA,34,52
MEDICINA III,17,51
PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,30,49
MATERIAIS,47,45
ANTROPOLOGIA / ARQUEOLOGIA,35,38
CIÊNCIAS BIOLÓGICAS III,9,37
SERVIÇO SOCIAL,32,36
NUTRIÇÃO,50,34
CIÊNCIAS DA RELIGIÃO E TEOLOGIA,44,22
CIÊNCIAS E HUMANIDADES PARA A EDUCAÇÃO BÁSICA,51,13
