AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,IN_REDE,SG_UF_PROGRAMA,CD_PROGRAMA_IES,NM_PROGRAMA_IES,DS_SITUACAO_PROGRAMA
2024,7,BIODIVERSIDADE,NÃO,RO,10001018041P7,CONSERVAÇÃO E USO DE RECURSOS NATURAIS,EM FUNCIONAMENTO
2024,41,LINGUÍSTICA E LITERATURA,NÃO,RO,10001018010P4,LETRAS,EM FUNCIONAMENTO
2024,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",NÃO,RO,10001018048P1,ADMINISTRAÇÃO E CONTABILIDADE,EM FUNCIONAMENTO
2024,33,FILOSOFIA,NÃO,RO,10001018043P0,FILOSOFIA,EM FUNCIONAMENTO
2024,46,ENSINO,NÃO,RO,10001018040P0,ENSINO DE CIÊNCIAS DA NATUREZA - PPGECN,EM FUNCIONAMENTO
2024,38,EDUCAÇÃO,NÃO,RO,10001018016P2,EDUCAÇÃO ESCOLAR,EM FUNCIONAMENTO
2024,36,GEOGRAFIA,NÃO,RO,10001018005P0,GEOGRAFIA,EM FUNCIONAMENTO
2024,49,CIÊNCIAS AMBIENTAIS,NÃO,RO,10001018017P9,CIÊNCIAS AMBIENTAIS,EM FUNCIONAMENTO
2024,38,EDUCAÇÃO,NÃO,RO,10001018011P0,EDUCAÇÃO,EM FUNCIONAMENTO
2024,45,INTERDISCIPLINAR,NÃO,RO,10001018039P2,DIREITOS HUMANOS E DESENVOLVIMENTO DA JUSTIÇA,EM FUNCIONAMENTO
2024,37,PSICOLOGIA,NÃO,RO,10001018009P6,PSICOLOGIA,EM FUNCIONAMENTO
2024,45,INTERDISCIPLINAR,NÃO,RO,10001018004P4,DESENVOLVIMENTO REGIONAL E MEIO AMBIENTE,EM FUNCIONAMENTO
2024,45,INTERDISCIPLINAR,NÃO,RO,10001018044P6,AGROECOSSISTEMAS AMAZÔNICOS,EM FUNCIONAMENTO
2024,46,ENSINO,NÃO,RO,10001018042P3,EDUCAÇÃO MATEMÁTICA,EM FUNCIONAMENTO
2024,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",NÃO,RO,10001018006P7,ADMINISTRAÇÃO,EM FUNCIONAMENTO
2024,41,LINGUÍSTICA E LITERATURA,NÃO,RO,10001018012P7,ESTUDOS LITERÁRIOS,EM FUNCIONAMENTO
2024,40,HISTÓRIA,NÃO,RO,10001018045P2,HISTÓRIA DA AMAZÔNIA,EM FUNCIONAMENTO
2024,31,COMUNICAÇÃO E INFORMAÇÃO,NÃO,RO,10001018046P9,COMUNICAÇÃO,EM FUNCIONAMENTO
