CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,TOTAL_PROGRAMAS_2024,PROGRAMAS_NOTA_6,PROGRAMAS_NOTA_7,PROGRAMAS_NOTA_6_7,PROPORCAO_NOTA_6_7_PCT
1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,60,5,8,13,21.666667
2,COMPUTAÇÃO,88,4,8,12,13.636364
3,ASTRONOMIA / FÍSICA,63,6,11,17,26.984127
4,QUÍMICA,76,10,10,20,26.315789
5,GEOCIÊNCIAS,57,7,8,15,26.315789
6,CIÊNCIAS BIOLÓGICAS I,60,13,6,19,31.666667
7,BIODIVERSIDADE,140,21,10,31,22.142857
8,CIÊNCIAS BIOLÓGICAS II,77,10,14,24,31.168831
9,CIÊNCIAS BIOLÓGICAS III,37,4,10,14,37.837838
10,ENGENHARIAS I,126,12,5,17,13.492063
11,ARTES,73,9,1,10,13.698630
12,ENGENHARIAS II,94,12,10,22,23.404255
13,ENGENHARIAS III,119,7,7,14,11.764706
14,ENGENHARIAS IV,89,9,5,14,15.730337
15,MEDICINA I,111,19,5,24,21.621622
16,MEDICINA II,106,14,8,22,20.754717
17,MEDICINA III,51,4,3,7,13.725490
18,ODONTOLOGIA,98,10,5,15,15.306122
19,FARMÁCIA,70,5,4,9,12.857143
20,ENFERMAGEM,80,6,4,10,12.500000
21,"EDUCAÇÃO FÍSICA, FISIOTERAPIA, FONOAUDIOLOGIA E TERAPIA OCUPACIONAL",82,7,3,10,12.195122
22,SAÚDE COLETIVA,98,6,6,12,12.244898
23,ZOOTECNIA / RECURSOS PESQUEIROS,61,6,3,9,14.754098
24,MEDICINA VETERINÁRIA,87,10,8,18,20.689655
25,CIÊNCIA DE ALIMENTOS,57,7,4,11,19.298246
26,DIREITO,135,13,3,16,11.851852
27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",182,9,5,14,7.692308
28,ECONOMIA,76,6,5,11,14.473684
29,"ARQUITETURA, URBANISMO E DESIGN",62,9,2,11,17.741935
30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,49,4,1,5,10.204082
31,COMUNICAÇÃO E INFORMAÇÃO,93,4,3,7,7.526882
32,SERVIÇO SOCIAL,36,6,1,7,19.444444
33,FILOSOFIA,54,8,4,12,22.222222
34,SOCIOLOGIA,52,5,4,9,17.307692
35,ANTROPOLOGIA / ARQUEOLOGIA,38,5,3,8,21.052632
36,GEOGRAFIA,80,8,2,10,12.500000
37,PSICOLOGIA,100,8,4,12,12.000000
38,EDUCAÇÃO,192,10,4,14,7.291667
39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,64,4,4,8,12.500000
40,HISTÓRIA,80,6,6,12,15.000000
41,LINGUÍSTICA E LITERATURA,155,23,8,31,20.000000
42,CIÊNCIAS AGRÁRIAS I,215,25,14,39,18.139535
44,CIÊNCIAS DA RELIGIÃO E TEOLOGIA,22,1,0,1,4.545455
45,INTERDISCIPLINAR,372,12,7,19,5.107527
46,ENSINO,179,4,4,8,4.469274
47,MATERIAIS,45,5,2,7,15.555556
48,BIOTECNOLOGIA,62,4,4,8,12.903226
49,CIÊNCIAS AMBIENTAIS,136,5,3,8,5.882353
50,NUTRIÇÃO,34,2,1,3,8.823529
51,CIÊNCIAS E HUMANIDADES PARA A EDUCAÇÃO BÁSICA,13,0,0,0,0.000000
