CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,PROGRAMAS_NOTA_6_7_2020,PROGRAMAS_NOTA_6_7_2024,CRESCIMENTO_ABSOLUTO_2020_2024,CRESCIMENTO_PERCENTUAL_2020_2024,TOTAL_PROGRAMAS_2020,TOTAL_PROGRAMAS_2024,PROPORCAO_NOTA_6_7_2020_PCT,PROPORCAO_NOTA_6_7_2024_PCT,DELTA_PROPORCAO_PONTOS_PCT,PROGRAMAS_NOTA_6_2020,PROGRAMAS_NOTA_7_2020,PROGRAMAS_NOTA_6_2024,PROGRAMAS_NOTA_7_2024
1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,10,13,3,30.000000,60,60,16.666667,21.666667,5.000000,3,7,5,8
2,COMPUTAÇÃO,10,12,2,20.000000,85,88,11.764706,13.636364,1.871658,3,7,4,8
3,ASTRONOMIA / FÍSICA,15,17,2,13.333333,62,63,24.193548,26.984127,2.790579,4,11,6,11
4,QUÍMICA,16,20,4,25.000000,75,76,21.333333,26.315789,4.982456,6,10,10,10
5,GEOCIÊNCIAS,13,15,2,15.384615,57,57,22.807018,26.315789,3.508772,7,6,7,8
6,CIÊNCIAS BIOLÓGICAS I,13,19,6,46.153846,61,60,21.311475,31.666667,10.355191,8,5,13,6
7,BIODIVERSIDADE,26,31,5,19.230769,141,140,18.439716,22.142857,3.703141,17,9,21,10
8,CIÊNCIAS BIOLÓGICAS II,20,24,4,20.000000,78,77,25.641026,31.168831,5.527806,7,13,10,14
9,CIÊNCIAS BIOLÓGICAS III,13,14,1,7.692308,36,37,36.111111,37.837838,1.726727,5,8,4,10
10,ENGENHARIAS I,10,17,7,70.000000,127,126,7.874016,13.492063,5.618048,6,4,12,5
11,ARTES,7,10,3,42.857143,68,73,10.294118,13.698630,3.404512,6,1,9,1
12,ENGENHARIAS II,19,22,3,15.789474,93,94,20.430108,23.404255,2.974148,11,8,12,10
13,ENGENHARIAS III,10,14,4,40.000000,125,119,8.000000,11.764706,3.764706,5,5,7,7
