AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,CONTAGEM_PROGRAMAS_DISTINTOS,CONTAGEM_PROGRAMAS_ATIVOS_DISTINTOS
2013,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,57,57
2013,2,CIÊNCIA DA COMPUTAÇÃO,70,69
2013,3,ASTRONOMIA / FÍSICA,60,60
2013,4,QUÍMICA,61,61
2013,5,GEOCIÊNCIAS,52,52
2013,6,CIÊNCIAS BIOLÓGICAS I,63,60
2013,7,BIODIVERSIDADE,129,127
2013,8,CIÊNCIAS BIOLÓGICAS II,64,64
2013,9,CIÊNCIAS BIOLÓGICAS III,32,32
2013,10,ENGENHARIAS I,103,102
2013,11,ARTES / MÚSICA,44,44
2013,12,ENGENHARIAS II,79,79
2013,13,ENGENHARIAS III,114,114
2013,14,ENGENHARIAS IV,82,80
2013,15,MEDICINA I,82,81
2013,16,MEDICINA II,86,86
2013,17,MEDICINA III,38,38
2013,18,ODONTOLOGIA,95,94
2013,19,FARMÁCIA,58,58
2013,20,ENFERMAGEM,62,62
2013,21,EDUCAÇÃO FÍSICA,50,47
2013,22,SAÚDE COLETIVA,72,71
2013,23,ZOOTECNIA / RECURSOS PESQUEIROS,61,61
2013,24,MEDICINA VETERINÁRIA,62,62
2013,25,CIÊNCIA DE ALIMENTOS,48,47
2013,26,DIREITO,79,78
2013,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",133,132
2013,28,ECONOMIA,55,55
2013,29,"ARQUITETURA, URBANISMO E DESIGN",50,50
2013,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,37,37
2013,31,COMUNICAÇÃO E INFORMAÇÃO,61,61
2013,32,SERVIÇO SOCIAL,32,32
2013,33,FILOSOFIA,41,39
2013,34,SOCIOLOGIA,53,52
2013,35,ANTROPOLOGIA / ARQUEOLOGIA,26,26
2013,36,GEOGRAFIA,52,52
2013,37,PSICOLOGIA,72,72
2013,38,EDUCAÇÃO,142,142
2013,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,34,32
2013,40,HISTÓRIA,64,63
2013,41,LETRAS / LINGUÍSTICA,139,136
2013,42,CIÊNCIAS AGRÁRIAS I,211,208
2013,44,TEOLOGIA,18,18
2013,45,INTERDISCIPLINAR,264,257
2013,46,ENSINO,94,94
2013,47,MATERIAIS,30,30
2013,48,BIOTECNOLOGIA,49,49
2013,49,CIÊNCIAS AMBIENTAIS,87,84
2013,50,NUTRIÇÃO,21,21
2014,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,58,58
2014,2,CIÊNCIA DA COMPUTAÇÃO,73,73
2014,3,ASTRONOMIA / FÍSICA,60,60
2014,4,QUÍMICA,63,63
2014,5,GEOCIÊNCIAS,51,51
2014,6,CIÊNCIAS BIOLÓGICAS I,61,59
2014,7,BIODIVERSIDADE,133,132
2014,8,CIÊNCIAS BIOLÓGICAS II,69,69
2014,9,CIÊNCIAS BIOLÓGICAS III,34,34
2014,10,ENGENHARIAS I,105,105
2014,11,ARTES / MÚSICA,50,50
2014,12,ENGENHARIAS II,84,84
2014,13,ENGENHARIAS III,118,118
2014,14,ENGENHARIAS IV,83,81
2014,15,MEDICINA I,89,89
2014,16,MEDICINA II,88,88
2014,17,MEDICINA III,40,40
2014,18,ODONTOLOGIA,98,97
2014,19,FARMÁCIA,60,60
2014,20,ENFERMAGEM,66,66
2014,21,EDUCAÇÃO FÍSICA,51,48
2014,22,SAÚDE COLETIVA,75,74
2014,23,ZOOTECNIA / RECURSOS PESQUEIROS,64,64
2014,24,MEDICINA VETERINÁRIA,65,65
2014,25,CIÊNCIA DE ALIMENTOS,48,48
2014,26,DIREITO,87,87
2014,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",148,148
2014,28,ECONOMIA,57,57
2014,29,"ARQUITETURA, URBANISMO E DESIGN",54,54
2014,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,39,39
2014,31,COMUNICAÇÃO E INFORMAÇÃO,62,62
2014,32,SERVIÇO SOCIAL,33,32
2014,33,FILOSOFIA,43,41
2014,34,SOCIOLOGIA,51,51
2014,35,ANTROPOLOGIA / ARQUEOLOGIA,27,27
2014,36,GEOGRAFIA,56,56
2014,37,PSICOLOGIA,75,75
2014,38,EDUCAÇÃO,155,155
2014,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,37,37
