CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,TOTAL_PROGRAMAS_2020,TOTAL_PROGRAMAS_2024,PROGRAMAS_NOTA_NUMERICA_2020,PROGRAMAS_NOTA_NUMERICA_2024,MEDIA_PONDERADA_NOTA_2020,MEDIA_PONDERADA_NOTA_2024,DELTA_MEDIA_PONDERADA,DELTA_MEDIA_PONDERADA_PCT,COUNT_NOTA_A_2020,COUNT_NOTA_A_2024,COUNT_NOTA_3_2020,COUNT_NOTA_4_2020,COUNT_NOTA_5_2020,COUNT_NOTA_6_2020,COUNT_NOTA_7_2020,COUNT_NOTA_3_2024,COUNT_NOTA_4_2024,COUNT_NOTA_5_2024,COUNT_NOTA_6_2024,COUNT_NOTA_7_2024
1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,60,60,58,59,4.500000,4.677966,0.177966,3.954802,2,1,13,20,15,3,7,9,22,15,5,8
2,COMPUTAÇÃO,85,88,76,83,4.039474,4.240964,0.201490,4.988030,9,5,31,28,7,3,7,25,33,13,4,8
3,ASTRONOMIA / FÍSICA,62,63,61,61,4.704918,4.934426,0.229508,4.878049,1,2,10,24,12,4,11,5,22,17,6,11
4,QUÍMICA,75,76,72,75,4.486111,4.626667,0.140556,3.133127,3,1,18,27,11,6,10,17,24,14,10,10
5,GEOCIÊNCIAS,57,57,55,55,4.472727,4.636364,0.163636,3.658537,2,2,14,20,8,7,6,10,23,7,7,8
6,CIÊNCIAS BIOLÓGICAS I,61,60,59,60,4.677966,5.000000,0.322034,6.884058,2,0,7,23,16,8,5,3,19,19,13,6
7,BIODIVERSIDADE,141,140,134,138,4.410448,4.652174,0.241726,5.480762,7,2,33,48,27,17,9,23,43,41,21,10
8,CIÊNCIAS BIOLÓGICAS II,78,77,76,75,4.789474,5.106667,0.317193,6.622711,2,2,9,31,16,7,13,6,18,27,10,14
9,CIÊNCIAS BIOLÓGICAS III,36,37,35,36,5.028571,5.222222,0.193651,3.851010,1,1,5,10,7,5,8,2,12,8,4,10
10,ENGENHARIAS I,127,126,122,124,3.819672,4.241935,0.422263,11.054963,5,2,60,38,14,6,4,36,44,27,12,5
11,ARTES,68,73,57,66,4.105263,4.333333,0.228070,5.555556,11,7,18,23,9,6,1,13,29,14,9,1
12,ENGENHARIAS II,93,94,90,90,4.111111,4.377778,0.266667,6.486486,3,4,45,17,9,11,8,31,26,11,12,10
13,ENGENHARIAS III,125,119,113,114,3.920354,4.114035,0.193681,4.940398,12,5,52,33,18,5,5,42,38,20,7,7
14,ENGENHARIAS IV,91,89,89,85,4.011236,4.164706,0.153470,3.826001,2,4,38,28,10,10,3,28,34,9,9,5
15,MEDICINA I,110,111,100,108,4.310000,4.611111,0.301111,6.986337,10,3,28,30,28,11,3,21,29,34,19,5
16,MEDICINA II,107,106,103,105,4.427184,4.514286,0.087101,1.967419,4,1,29,23,35,10,6,28,25,30,14,8
17,MEDICINA III,51,51,48,51,4.083333,4.294118,0.210784,5.162065,3,0,14,21,9,3,1,14,18,12,4,3
18,ODONTOLOGIA,98,98,95,95,4.378947,4.631579,0.252632,5.769231,3,3,14,46,23,9,3,4,47,29,10,5
19,FARMÁCIA,69,70,67,69,4.059701,4.246377,0.186675,4.598252,2,1,25,25,9,4,4,17,31,12,5,4
20,ENFERMAGEM,78,80,74,77,4.135135,4.376623,0.241488,5.839912,4,3,25,24,18,4,3,16,30,21,6,4
21,"EDUCAÇÃO FÍSICA, FISIOTERAPIA, FONOAUDIOLOGIA E TERAPIA OCUPACIONAL",75,82,65,73,3.969231,4.315068,0.345838,8.712966,10,9,25,25,9,4,2,20,23,20,7,3
22,SAÚDE COLETIVA,95,98,89,95,4.000000,4.305263,0.305263,7.631579,6,3,37,28,14,7,3,22,40,21,6,6
23,ZOOTECNIA / RECURSOS PESQUEIROS,63,61,61,60,4.049180,4.233333,0.184153,4.547908,2,1,25,20,7,6,3,14,30,7,6,3
24,MEDICINA VETERINÁRIA,83,87,79,83,4.379747,4.710843,0.331097,7.559719,4,4,19,26,22,9,3,6,38,21,10,8
25,CIÊNCIA DE ALIMENTOS,60,57,57,57,3.964912,4.350877,0.385965,9.734513,3,0,25,16,11,3,2,14,24,8,7,4
26,DIREITO,125,135,108,121,3.870370,4.157025,0.286654,7.406382,17,14,48,37,12,11,0,35,51,19,13,3
27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",186,182,175,173,3.885714,4.196532,0.310818,7.998980,11,9,72,61,35,4,3,41,76,42,9,5
28,ECONOMIA,75,76,69,73,4.275362,4.328767,0.053405,1.249129,6,3,20,24,15,6,4,20,25,17,6,5
29,"ARQUITETURA, URBANISMO E DESIGN",66,62,64,62,3.953125,4.709677,0.756552,19.138085,2,0,21,29,10,4,0,5,21,25,9,2
30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,48,49,44,48,3.909091,4.125000,0.215909,5.523256,4,1,18,17,5,3,1,15,18,10,4,1
31,COMUNICAÇÃO E INFORMAÇÃO,90,93,83,86,3.867470,4.255814,0.388344,10.041295,7,7,34,32,12,4,1,14,46,19,4,3
32,SERVIÇO SOCIAL,36,36,33,35,4.151515,4.457143,0.305628,7.361835,3,1,12,11,4,5,1,9,9,10,6,1
33,FILOSOFIA,52,54,45,51,4.288889,4.686275,0.397386,9.265468,7,3,10,18,12,4,1,8,16,15,8,4
34,SOCIOLOGIA,52,52,51,50,4.313725,4.620000,0.306275,7.100000,1,2,12,22,9,5,3,5,22,14,5,4
35,ANTROPOLOGIA / ARQUEOLOGIA,37,38,33,36,4.242424,4.500000,0.257576,6.071429,4,2,11,9,9,2,2,10,9,9,5,3
36,GEOGRAFIA,76,80,65,76,4.107692,4.355263,0.247571,6.027006,11,4,26,17,13,7,2,13,35,18,8,2
37,PSICOLOGIA,101,100,93,98,4.150538,4.387755,0.237217,5.715343,8,2,28,35,21,6,3,18,40,28,8,4
38,EDUCAÇÃO,185,192,173,185,4.057803,4.210811,0.153007,3.770694,12,7,53,70,40,7,3,32,100,39,10,4
39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,59,64,49,59,4.061224,4.271186,0.209962,5.169917,10,5,19,17,6,5,2,15,25,11,4,4
40,HISTÓRIA,80,80,71,78,4.112676,4.448718,0.336042,8.170882,9,2,23,25,17,4,2,17,27,22,6,6
41,LINGUÍSTICA E LITERATURA,156,155,147,148,4.340136,4.689189,0.349053,8.042447,9,7,31,60,37,13,6,16,53,48,23,8
42,CIÊNCIAS AGRÁRIAS I,218,215,217,215,4.327189,4.665116,0.337927,7.809396,1,0,51,85,51,19,11,23,79,74,25,14
44,CIÊNCIAS DA RELIGIÃO E TEOLOGIA,21,22,20,21,4.050000,4.238095,0.188095,4.644327,1,1,6,8,5,1,0,4,9,7,1,0
45,INTERDISCIPLINAR,359,372,333,345,3.714715,4.089855,0.375140,10.098766,26,27,156,130,35,10,2,82,176,68,12,7
46,ENSINO,177,179,151,171,3.721854,3.953216,0.231362,6.216312,26,8,75,51,18,6,1,51,89,23,4,4
47,MATERIAIS,41,45,36,43,4.194444,4.372093,0.177649,4.235330,5,2,11,13,8,2,2,10,16,10,5,2
48,BIOTECNOLOGIA,65,62,61,62,4.196721,4.548387,0.351666,8.379536,4,0,13,31,11,4,2,8,24,22,4,4
49,CIÊNCIAS AMBIENTAIS,137,136,120,132,3.733333,3.946970,0.213636,5.722403,17,4,59,43,12,3,3,47,56,21,5,3
50,NUTRIÇÃO,36,34,32,34,3.656250,3.970588,0.314338,8.597285,4,0,18,10,1,3,0,12,15,4,2,1
51,CIÊNCIAS E HUMANIDADES PARA A EDUCAÇÃO BÁSICA,0,13,0,12,,4.166667,,,0,1,0,0,0,0,0,2,6,4,0,0
