AREA_REF_ANO,CD_AREA_AVALIACAO_REF,NM_AREA_AVALIACAO_REF,PROGRAMAS_COMUNS_2020_2024,PROGRAMAS_MESMA_AREA_2020_2024,PROGRAMAS_MIGRADOS_DE_AREA,CONTAGEM_NOTA67_2020,CONTAGEM_NOTA67_2024
2024,ALL,TODAS AS ÁREAS,4363,4334,29,488,669
2024,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,59,59,0,10,13
2024,2,COMPUTAÇÃO,83,83,0,10,12
2024,3,ASTRONOMIA / FÍSICA,61,61,0,15,17
2024,4,QUÍMICA,73,72,1,16,20
2024,5,GEOCIÊNCIAS,55,55,0,13,15
2024,6,CIÊNCIAS BIOLÓGICAS I,59,59,0,13,19
2024,7,BIODIVERSIDADE,138,138,0,26,31
2024,8,CIÊNCIAS BIOLÓGICAS II,75,75,0,19,24
2024,9,CIÊNCIAS BIOLÓGICAS III,36,35,1,13,14
2024,10,ENGENHARIAS I,124,123,1,10,17
2024,11,ARTES,66,66,0,7,10
2024,12,ENGENHARIAS II,89,89,0,19,22
2024,13,ENGENHARIAS III,113,113,0,10,14
2024,14,ENGENHARIAS IV,85,85,0,13,14
2024,15,MEDICINA I,107,107,0,14,24
2024,16,MEDICINA II,105,104,1,16,22
2024,17,MEDICINA III,50,50,0,4,7
2024,18,ODONTOLOGIA,94,94,0,12,15
2024,19,FARMÁCIA,69,69,0,8,9
2024,20,ENFERMAGEM,77,77,0,7,10
2024,21,"EDUCAÇÃO FÍSICA, FISIOTERAPIA, FONOAUDIOLOGIA E TERAPIA OCUPACIONAL",73,73,0,6,10
2024,22,SAÚDE COLETIVA,95,95,0,10,12
2024,23,ZOOTECNIA / RECURSOS PESQUEIROS,58,58,0,9,9
2024,24,MEDICINA VETERINÁRIA,80,79,1,12,18
2024,25,CIÊNCIA DE ALIMENTOS,56,56,0,5,11
2024,26,DIREITO,121,120,1,11,16
2024,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",172,172,0,7,14
2024,28,ECONOMIA,73,73,0,10,11
2024,29,"ARQUITETURA, URBANISMO E DESIGN",62,62,0,4,11
2024,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,47,45,2,4,5
2024,31,COMUNICAÇÃO E INFORMAÇÃO,85,85,0,4,7
2024,32,SERVIÇO SOCIAL,35,35,0,5,7
2024,33,FILOSOFIA,51,51,0,5,12
2024,34,SOCIOLOGIA,50,50,0,8,9
2024,35,ANTROPOLOGIA / ARQUEOLOGIA,36,36,0,4,8
2024,36,GEOGRAFIA,73,73,0,9,10
2024,37,PSICOLOGIA,97,97,0,9,12
2024,38,EDUCAÇÃO,180,180,0,10,14
2024,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,59,58,1,7,8
2024,40,HISTÓRIA,77,77,0,6,12
2024,41,LINGUÍSTICA E LITERATURA,146,146,0,19,31
2024,42,CIÊNCIAS AGRÁRIAS I,211,211,0,30,39
2024,44,CIÊNCIAS DA RELIGIÃO E TEOLOGIA,21,21,0,1,1
2024,45,INTERDISCIPLINAR,341,335,6,12,19
2024,46,ENSINO,170,170,0,7,8
2024,47,MATERIAIS,42,40,2,4,7
2024,48,BIOTECNOLOGIA,60,59,1,6,8
2024,49,CIÊNCIAS AMBIENTAIS,129,129,0,6,8
2024,50,NUTRIÇÃO,34,34,0,3,3
2024,51,CIÊNCIAS E HUMANIDADES PARA A EDUCAÇÃO BÁSICA,11,0,11,0,0
