AREA_REF_ANO,CD_AREA_AVALIACAO_REF,NM_AREA_AVALIACAO_REF,NOTA_2020,NOTA_2024,CONTAGEM_PROGRAMAS
2024,ALL,TODAS AS ÁREAS,3,3,611
2024,ALL,TODAS AS ÁREAS,3,4,741
2024,ALL,TODAS AS ÁREAS,3,5,8
2024,ALL,TODAS AS ÁREAS,4,3,35
2024,ALL,TODAS AS ÁREAS,4,4,909
2024,ALL,TODAS AS ÁREAS,4,5,504
2024,ALL,TODAS AS ÁREAS,4,6,9
2024,ALL,TODAS AS ÁREAS,5,3,1
2024,ALL,TODAS AS ÁREAS,5,4,53
2024,ALL,TODAS AS ÁREAS,5,5,502
2024,ALL,TODAS AS ÁREAS,5,6,187
2024,ALL,TODAS AS ÁREAS,5,7,6
2024,ALL,TODAS AS ÁREAS,6,4,2
2024,ALL,TODAS AS ÁREAS,6,5,16
2024,ALL,TODAS AS ÁREAS,6,6,201
2024,ALL,TODAS AS ÁREAS,6,7,84
2024,ALL,TODAS AS ÁREAS,7,5,3
2024,ALL,TODAS AS ÁREAS,7,6,12
2024,ALL,TODAS AS ÁREAS,7,7,170
2024,ALL,TODAS AS ÁREAS,A,3,267
2024,ALL,TODAS AS ÁREAS,A,4,41
2024,ALL,TODAS AS ÁREAS,A,A,1
2024,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,3,3,7
2024,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,3,4,6
2024,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,4,4,16
2024,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,4,5,4
2024,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,5,5,11
2024,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,5,6,3
2024,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,6,6,2
2024,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,6,7,1
2024,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,7,7,7
2024,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,A,3,2
2024,2,COMPUTAÇÃO,3,3,17
2024,2,COMPUTAÇÃO,3,4,14
2024,2,COMPUTAÇÃO,4,4,18
2024,2,COMPUTAÇÃO,4,5,8
2024,2,COMPUTAÇÃO,5,5,5
2024,2,COMPUTAÇÃO,5,6,2
2024,2,COMPUTAÇÃO,6,6,2
2024,2,COMPUTAÇÃO,6,7,1
2024,2,COMPUTAÇÃO,7,7,7
2024,2,COMPUTAÇÃO,A,3,8
2024,2,COMPUTAÇÃO,A,4,1
2024,3,ASTRONOMIA / FÍSICA,3,3,4
2024,3,ASTRONOMIA / FÍSICA,3,4,6
2024,3,ASTRONOMIA / FÍSICA,4,4,16
2024,3,ASTRONOMIA / FÍSICA,4,5,7
2024,3,ASTRONOMIA / FÍSICA,5,5,9
2024,3,ASTRONOMIA / FÍSICA,5,6,3
2024,3,ASTRONOMIA / FÍSICA,6,6,3
2024,3,ASTRONOMIA / FÍSICA,6,7,1
2024,3,ASTRONOMIA / FÍSICA,7,5,1
2024,3,ASTRONOMIA / FÍSICA,7,7,10
2024,3,ASTRONOMIA / FÍSICA,A,3,1
2024,4,QUÍMICA,3,3,13
2024,4,QUÍMICA,3,4,5
2024,4,QUÍMICA,4,3,1
2024,4,QUÍMICA,4,4,17
2024,4,QUÍMICA,4,5,6
2024,4,QUÍMICA,4,6,2
2024,4,QUÍMICA,5,4,1
2024,4,QUÍMICA,5,5,7
2024,4,QUÍMICA,5,6,3
2024,4,QUÍMICA,6,5,1
2024,4,QUÍMICA,6,6,5
2024,4,QUÍMICA,7,7,10
2024,4,QUÍMICA,A,3,1
2024,4,QUÍMICA,A,4,1
2024,5,GEOCIÊNCIAS,3,3,8
2024,5,GEOCIÊNCIAS,3,4,6
2024,5,GEOCIÊNCIAS,4,4,16
2024,5,GEOCIÊNCIAS,4,5,2
2024,5,GEOCIÊNCIAS,5,4,1
2024,5,GEOCIÊNCIAS,5,5,5
2024,5,GEOCIÊNCIAS,5,6,2
2024,5,GEOCIÊNCIAS,6,6,5
2024,5,GEOCIÊNCIAS,6,7,2
2024,5,GEOCIÊNCIAS,7,7,6
2024,5,GEOCIÊNCIAS,A,3,2
2024,6,CIÊNCIAS BIOLÓGICAS I,3,4,7
2024,6,CIÊNCIAS BIOLÓGICAS I,4,3,1
2024,6,CIÊNCIAS BIOLÓGICAS I,4,4,10
2024,6,CIÊNCIAS BIOLÓGICAS I,4,5,10
2024,6,CIÊNCIAS BIOLÓGICAS I,5,4,1
2024,6,CIÊNCIAS BIOLÓGICAS I,5,5,9
2024,6,CIÊNCIAS BIOLÓGICAS I,5,6,6
2024,6,CIÊNCIAS BIOLÓGICAS I,6,6,7
2024,6,CIÊNCIAS BIOLÓGICAS I,6,7,1
2024,6,CIÊNCIAS BIOLÓGICAS I,7,7,5
2024,6,CIÊNCIAS BIOLÓGICAS I,A,3,1
