AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,CONTAGEM_PROGRAMAS_PROXY_DISCENTES
2004,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,35
2004,2,CIÊNCIA DA COMPUTAÇÃO,34
2004,3,ASTRONOMIA / FÍSICA,44
2004,4,QUÍMICA,48
2004,5,GEOCIÊNCIAS,41
2004,6,CIÊNCIAS BIOLÓGICAS I,93
2004,7,BIODIVERSIDADE,21
2004,8,CIÊNCIAS BIOLÓGICAS II,57
2004,9,CIÊNCIAS BIOLÓGICAS III,20
2004,10,ENGENHARIAS I,61
2004,11,ARTES / MÚSICA,24
2004,12,ENGENHARIAS II,59
2004,13,ENGENHARIAS III,67
2004,14,ENGENHARIAS IV,43
2004,15,MEDICINA I,64
2004,16,MEDICINA II,76
2004,17,MEDICINA III,48
2004,18,ODONTOLOGIA,83
2004,19,FARMÁCIA,19
2004,20,ENFERMAGEM,24
2004,21,EDUCAÇÃO FÍSICA,22
2004,22,SAÚDE COLETIVA,32
2004,23,ZOOTECNIA / RECURSOS PESQUEIROS,30
2004,24,MEDICINA VETERINÁRIA,31
2004,25,CIÊNCIA DE ALIMENTOS,26
2004,26,DIREITO,49
2004,27,"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO",63
2004,28,ECONOMIA,40
2004,29,ARQUITETURA E URBANISMO,17
2004,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,13
2004,31,CIÊNCIAS SOCIAIS APLICADAS I,26
2004,32,SERVIÇO SOCIAL,19
2004,33,FILOSOFIA / TEOLOGIA:SUBCOMISSÃO FILOSOFIA,26
2004,34,SOCIOLOGIA,33
2004,35,ANTROPOLOGIA / ARQUEOLOGIA,13
2004,36,GEOGRAFIA,29
2004,37,PSICOLOGIA,44
2004,38,EDUCAÇÃO,73
2004,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,16
2004,40,HISTÓRIA,34
2004,41,LETRAS / LINGUÍSTICA,84
2004,42,CIÊNCIAS AGRÁRIAS I,125
2004,44,FILOSOFIA/TEOLOGIA:SUBCOMISSÃO TEOLOGIA,12
2004,45,INTERDISCIPLINAR,103
2004,46,ENSINO,23
2005,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,35
2005,2,CIÊNCIA DA COMPUTAÇÃO,36
2005,3,ASTRONOMIA / FÍSICA,46
2005,4,QUÍMICA,51
2005,5,GEOCIÊNCIAS,43
2005,6,CIÊNCIAS BIOLÓGICAS I,98
2005,7,BIODIVERSIDADE,22
2005,8,CIÊNCIAS BIOLÓGICAS II,56
2005,9,CIÊNCIAS BIOLÓGICAS III,20
2005,10,ENGENHARIAS I,64
2005,11,ARTES / MÚSICA,26
2005,12,ENGENHARIAS II,65
2005,13,ENGENHARIAS III,70
2005,14,ENGENHARIAS IV,48
2005,15,MEDICINA I,70
2005,16,MEDICINA II,80
2005,17,MEDICINA III,48
2005,18,ODONTOLOGIA,83
2005,19,FARMÁCIA,25
2005,20,ENFERMAGEM,25
2005,21,EDUCAÇÃO FÍSICA,24
2005,22,SAÚDE COLETIVA,34
2005,23,ZOOTECNIA / RECURSOS PESQUEIROS,31
2005,24,MEDICINA VETERINÁRIA,31
2005,25,CIÊNCIA DE ALIMENTOS,28
2005,26,DIREITO,52
2005,27,"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO",74
2005,28,ECONOMIA,44
2005,29,ARQUITETURA E URBANISMO,20
2005,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,14
2005,31,CIÊNCIAS SOCIAIS APLICADAS I,26
